,Player,Actual_Salary,Adjusted_Salary,Year
0,Stephen Curry,34682550,36266630,2017
1,LeBron James,33285709,34805990,2017
2,Paul Millsap,30769231,32174575,2017
3,Gordon Hayward,29727900,31085683,2017
4,Blake Griffin,29512900,30860863,2017
5,Kyle Lowry,28903704,30223842,2017
6,Mike Conley,28530608,29833706,2017
7,James Harden,28299399,29591937,2017
8,Russell Westbrook,28299399,29591937,2017
9,DeMar DeRozan,27739975,29006962,2017
10,Al Horford,27734405,29001137,2017
11,Carmelo Anthony,26243760,27442409,2017
12,Damian Lillard,26153057,27347563,2017
13,Jrue Holiday,25686667,26859871,2017
14,Chris Bosh,25289390,26444449,2017
15,Kevin Durant,25000000,26141842,2017
16,Otto Porter,24773250,25904735,2017
17,Chris Paul,24268959,25377412,2017
18,CJ McCollum,23962573,25057032,2017
19,Andre Drummond,23775506,24861421,2017
20,Hassan Whiteside,23775506,24861421,2017
21,Anthony Davis,23775506,24861421,2017
22,Bradley Beal,23775506,24861421,2017
23,Dwight Howard,23500000,24573331,2017
24,Harrison Barnes,23112004,24167614,2017
25,Chandler Parsons,23112004,24167614,2017
26,JJ Redick,23000000,24050494,2017
27,Kevin Love,22642350,23676509,2017
28,DeAndre Jordan,22642350,23676509,2017
29,Brook Lopez,22642350,23676509,2017
30,Marc Gasol,22642350,23676509,2017
31,Giannis Antetokounmpo,22471911,23498286,2017
32,Steven Adams,22471911,23498286,2017
33,Nicolas Batum,22434783,23459462,2017
34,LaMarcus Aldridge,21461010,22441213,2017
35,Greg Monroe,21384175,22360868,2017
36,Rudy Gobert,21224719,22194130,2017
37,Victor Oladipo,21000000,21959147,2017
38,Danilo Gallinari,20559599,21498631,2017
39,Serge Ibaka,20061729,20978022,2017
40,George Hill,20000000,20913473,2017
41,Ryan Anderson,19578455,20472675,2017
42,Paul George,19300000,20181502,2017
43,Jeff Teague,19000000,19867800,2017
44,Kyrie Irving,18868626,19730425,2017
45,Kawhi Leonard,18868625,19730424,2017
46,Jimmy Butler,18696918,19550875,2017
47,Allen Crabbe,18500000,19344963,2017
48,DeMarcus Cousins,18063850,18888892,2017
49,John Wall,18063850,18888892,2017
50,Enes Kanter,17884176,18701012,2017
51,Wesley Matthews,17884175,18701011,2017
52,Dwyane Wade,17878652,18695235,2017
53,Klay Thompson,17826150,18640336,2017
54,Joakim Noah,17765000,18576393,2017
55,Kentavious Caldwell-Pope,17745894,18556414,2017
56,Luol Deng,17190000,17975130,2017
57,Evan Turner,17131148,17913590,2017
58,Goran Dragic,17000450,17776923,2017
59,Bismack Biyombo,17000000,17776452,2017
60,Evan Fournier,17000000,17776452,2017
61,Kent Bazemore,16910112,17682459,2017
62,Robert Covington,16698103,17460767,2017
63,Tim Hardaway Jr,16500000,17253615,2017
64,Tristan Thompson,16400000,17149048,2017
65,Draymond Green,16400000,17149048,2017
66,Reggie Jackson,16000000,16730779,2017
67,Tobias Harris,16000000,16730779,2017
68,Pau Gasol,16000000,16730779,2017
69,Ian Mahinmi,16000000,16730779,2017
70,Dennis Schroeder,15500000,16207942,2017
71,Jonas Valanciunas,15460675,16166821,2017
72,Tony Parker,15453126,16158927,2017
73,Timofey Mozgov,15280000,15977894,2017
74,Jamal Crawford,15270762,15968233,2017
75,Andre Iguodala,14814815,15491462,2017
76,DeMarre Carroll,14800000,15475970,2017
77,Eric Bledsoe,14500000,15162268,2017
78,Gorgui Dieng,14112360,14756923,2017
79,Khris Middleton,14100000,14743999,2017
80,Ricky Rubio,14100000,14743999,2017
81,Mason Plumlee,14041096,14682404,2017
82,Taj Gibson,14000000,14639431,2017
83,Robin Lopez,13788500,14418271,2017
84,JR Smith,13760000,14388470,2017
85,James Johnson,13734000,14361282,2017
86,Joe Ingles,13636364,14259187,2017
87,Brandon Knight,13618750,14240768,2017
88,Marvin Williams,13168750,13770215,2017
89,Michael Kidd-Gilchrist,13000000,13593758,2017
90,Tyson Chandler,13000000,13593758,2017
91,Eric Gordon,12943020,13534175,2017
92,Kenneth Faried,12921348,13511513,2017
93,Thaddeus Young,12921348,13511513,2017
94,Marcin Gortat,12782609,13366437,2017
95,Cody Zeller,12584270,13159040,2017
96,Nikola Mirotic,12500000,13070921,2017
97,Miles Plumlee,12400000,12966353,2017
98,Zach Randolph,12307692,12869829,2017
99,Nikola Vucevic,12250000,12809502,2017
100,Solomon Hill,12236535,12795422,2017
101,Dion Waiters,12100000,12652651,2017
102,Wilson Chandler,12016854,12565708,2017
103,Kelly Olynyk,12007169,12555580,2017
104,Jeremy Lin,12000000,12548084,2017
105,Kemba Walker,12000000,12548084,2017
106,Derrick Favors,12000000,12548084,2017
107,Austin Rivers,11825000,12365091,2017
108,Courtney Lee,11747890,12284459,2017
109,Nikola Pekovic,11600000,12129814,2017
110,Jordan Clarkson,11562500,12090602,2017
111,John Henson,11422536,11944245,2017
112,Amir Johnson,11000000,11502410,2017
113,Alec Burks,10845506,11340860,2017
114,Patrick Mills,10714286,11203647,2017
115,Moe Harkless,10662922,11149937,2017
116,Omer Asik,10595505,11079440,2017
117,Bojan Bogdanovic,10500000,10979573,2017
118,Mirza Teletovic,10500000,10979573,2017
119,Terrence Ross,10500000,10979573,2017
120,Jon Leuer,10497319,10976770,2017
121,Iman Shumpert,10337079,10809211,2017
122,Joe Johnson,10254904,10723282,2017
123,Darren Collison,10000000,10456736,2017
124,Jared Dudley,10000000,10456736,2017
125,Danny Green,10000000,10456736,2017
126,Meyers Leonard,9904495,10356869,2017
127,Tony Snell,9821429,10270009,2017
128,Al Jefferson,9769821,10216044,2017
129,Matthew Dellavedova,9607500,10046310,2017
130,Trevor Booker,9571137,10008285,2017
131,Bogdan Bogdanovic,9470614,9903171,2017
132,Andre Roberson,9259260,9682164,2017
133,Dwight Powell,9003125,9414330,2017
134,Jerryd Bayless,9000000,9411063,2017
135,Avery Bradley,8808989,9211328,2017
136,JaMychal Green,8533333,8923081,2017
137,E'Twaun Moore,8445024,8830739,2017
138,Rudy Gay,8406000,8789933,2017
