,Year,Player,MVP,Rookie of Year,DPOY,6th man of Year,Most Improved,Finals MVP
102,1993,Shaquille O'Neal,,1.0,,,,
175,1993,Hakeem Olajuwon,,,1.0,,,
273,1993,Michael Jordan,,,,,,1.0
26,1993,Charles Barkley,1.0,,,,,
210,1994,Dell Curry,,,,1.0,,
25,1994,Hakeem Olajuwon,1.0,,1.0,,,1.0
246,1994,Don MacLean,,,,,1.0,
101,1994,Chris Webber,,1.0,,,,
174,1995,Dikembe Mutombo,,,1.0,,,
245,1995,Dana Barros,,,,,1.0,
99,1995,Jason Kidd ,,1.0,,,,
24,1995,David Robinson,1.0,,,,,
209,1995,Anthony Mason,,,,1.0,,
272,1995,Hakeem Olajuwon,,,,,,1.0
100,1995,Grant Hill ,,1.0,,,,
98,1996,Damon Stoudamire,,1.0,,,,
208,1996,Toni Kukoč,,,,1.0,,
23,1996,Michael Jordan,1.0,,,,,1.0
173,1996,Gary Payton,,,1.0,,,
244,1996,Gheorghe Mureșan,,,,,1.0,
207,1997,John Starks,,,,1.0,,
271,1997,Michael Jordan,,,,,,1.0
243,1997,Isaac Austin,,,,,1.0,
172,1997,Dikembe Mutombo,,,1.0,,,
97,1997,Allen Iverson,,1.0,,,,
22,1997,Karl Malone,1.0,,,,,
21,1998,Michael Jordan,1.0,,,,,1.0
96,1998,Tim Duncan,,1.0,,,,
242,1998,Alan Henderson,,,,,1.0,
206,1998,Danny Manning,,,,1.0,,
171,1998,Dikembe Mutombo,,,1.0,,,
95,1999,Vince Carter,,1.0,,,,
205,1999,Darrell Armstrong,,,,1.0,1.0,
170,1999,Alonzo Mourning,,,1.0,,,
20,1999,Karl Malone,1.0,,,,,
270,1999,Tim Duncan,,,,,,1.0
94,2000,Elton Brand ,,1.0,,,,
93,2000,Steve Francis ,,1.0,,,,
241,2000,Jalen Rose,,,,,1.0,
169,2000,Alonzo Mourning,,,1.0,,,
204,2000,Rodney Rogers,,,,1.0,,
19,2000,Shaquille O'Neal,1.0,,,,,1.0
168,2001,Dikembe Mutombo,,,1.0,,,
92,2001,Mike Miller,,1.0,,,,
18,2001,Allen Iverson,1.0,,,,,
203,2001,Aaron McKie,,,,1.0,,
269,2001,Shaquille O'Neal,,,,,,1.0
240,2001,Tracy McGrady,,,,,1.0,
239,2002,Jermaine O'Neal,,,,,1.0,
202,2002,Corliss Williamson,,,,1.0,,
91,2002,Pau Gasol,,1.0,,,,
268,2002,Shaquille O'Neal,,,,,,1.0
167,2002,Ben Wallace,,,1.0,,,
17,2002,Tim Duncan,1.0,,,,,
90,2003,Amar'e Stoudemire,,1.0,,,,
238,2003,Gilbert Arenas,,,,,1.0,
166,2003,Ben Wallace,,,1.0,,,
16,2003,Tim Duncan,1.0,,,,,1.0
201,2003,Bobby Jackson,,,,1.0,,
200,2004,Antawn Jamison,,,,1.0,,
15,2004,Kevin Garnett,1.0,,,,,
237,2004,Zach Randolph,,,,,1.0,
89,2004,LeBron James,,1.0,,,,
267,2004,Chauncey Billups,,,,,,1.0
165,2004,Metta World Peace,,,1.0,,,
266,2005,Tim Duncan,,,,,,1.0
199,2005,Ben Gordon,,,,1.0,,
88,2005,Emeka Okafor,,1.0,,,,
236,2005,Bobby Simmons,,,,,1.0,
14,2005,Steve Nash,1.0,,,,,
164,2005,Ben Wallace,,,1.0,,,
13,2006,Steve Nash,1.0,,,,,
265,2006,Dwyane Wade,,,,,,1.0
163,2006,Ben Wallace,,,1.0,,,
198,2006,Mike Miller,,,,1.0,,
235,2006,Boris Diaw,,,,,1.0,
87,2006,Chris Paul,,1.0,,,,
264,2007,Tony Parker,,,,,,1.0
234,2007,Monta Ellis,,,,,1.0,
86,2007,Brandon Roy,,1.0,,,,
12,2007,Dirk Nowitzki,1.0,,,,,
162,2007,Marcus Camby,,,1.0,,,
197,2007,Leandro Barbosa,,,,1.0,,
161,2008,Kevin Garnett,,,1.0,,,
263,2008,Paul Pierce,,,,,,1.0
11,2008,Kobe Bryant,1.0,,,,,
196,2008,Manu Ginóbili,,,,1.0,,
85,2008,Kevin Durant,,1.0,,,,
233,2008,Hedo Türkoğlu,,,,,1.0,
262,2009,Kobe Bryant,,,,,,1.0
195,2009,Jason Terry,,,,1.0,,
232,2009,Danny Granger,,,,,1.0,
10,2009,LeBron James,1.0,,,,,
84,2009,Derrick Rose,,1.0,,,,
160,2009,Dwight Howard,,,1.0,,,
231,2010,Aaron Brooks,,,,,1.0,
9,2010,LeBron James,1.0,,,,,
261,2010,Kobe Bryant,,,,,,1.0
194,2010,Jamal Crawford,,,,1.0,,
159,2010,Dwight Howard,,,1.0,,,
83,2010,Tyreke Evans,,1.0,,,,
8,2011,Derrick Rose,1.0,,,,,
260,2011,Dirk Nowitzki,,,,,,1.0
158,2011,Dwight Howard,,,1.0,,,
82,2011,Blake Griffin,,1.0,,,,
230,2011,Kevin Love,,,,,1.0,
193,2011,Lamar Odom,,,,1.0,,
7,2012,LeBron James,1.0,,,,,1.0
81,2012,Kyrie Irving,,1.0,,,,
