,Player,Salary,Year
181,Kyle Korver,6004753,2019
182,Ishmael Smith,6000000,2019
183,Montrezl Harrell,6000000,2019
184,Marco Belinelli,5846154,2019
185,Jarrett Culver,5813640,2019
186,Jonathan Isaac,5806440,2019
187,Rodney Hood,5718000,2019
188,Ryan Anderson,5714583,2019
189,Mo Bamba,5697600,2019
190,Dwight Howard,5603850,2019
191,Timofey Mozgov,5573333,2019
192,Pau Gasol,5538540,2019
193,Trey Lyles,5500000,2019
194,Deron Williams,5474787,2019
195,Aron Baynes,5453280,2019
196,Kris Dunn,5348007,2019
197,Josh Smith,5331729,2019
198,Coby White,5307120,2019
199,Lauri Markkanen,5300400,2019
200,Wendell Carter,5201400,2019
201,Luol Deng,5000000,2019
202,Daniel Theis,5000000,2019
203,Jaxson Hayes,4862040,2019
204,Buddy Hield,4861207,2019
205,Frank Ntilikina,4855800,2019
206,Rodney McGruder,4807693,2019
207,Enes Kanter,4767000,2019
208,JaMychal Green,4767000,2019
209,Robin Lopez,4767000,2019
210,Mike Scott,4767000,2019
211,Richaun Holmes,4767000,2019
212,Ed Davis,4767000,2019
213,Garrett Temple,4767000,2019
214,Justin Holiday,4767000,2019
215,Frank Kaminsky,4767000,2019
216,Collin Sexton,4764960,2019
217,Rui Hachimura,4469160,2019
218,Kevon Looney,4464286,2019
219,Dennis Smith,4463640,2019
220,Jamal Murray,4444746,2019
221,Kevin Knox,4380120,2019
222,Cam Reddish,4245720,2019
223,Zach Collins,4240200,2019
224,Mikal Bridges,4161000,2019
225,Alex Len,4160000,2019
226,Nicolo Melli,4102564,2019
227,Cameron Johnson,4033440,2019
228,Malik Monk,4028400,2019
229,JaVale McGee,4000000,2019
230,Reggie Bullock,4000000,2019
231,Dorian Finney-Smith,4000000,2019
232,Patrick McCaw,4000000,2019
233,Shai Gilgeous-Alexander,3952920,2019
234,PJ Washington,3831840,2019
235,Luke Kennard,3827160,2019
236,Miles Bridges,3755400,2019
237,Jakob Poeltl,3754885,2019
238,Markieff Morris,3709887,2019
239,Tyler Herro,3640200,2019
240,Donovan Mitchell,3635760,2019
241,Stanley Johnson,3623000,2019
242,Jake Layman,3581986,2019
243,Thon Maker,3569643,2019
244,Jerome Robinson,3567720,2019
245,Allonzo Trier,3551100,2019
246,Danuel House,3540000,2019
247,Domantas Sabonis,3529554,2019
248,Boban Marjanovic,3500000,2019
249,TJ McConnell,3500000,2019
250,DeMarcus Cousins,3500000,2019
251,Taurean Prince,3481985,2019
252,Dario Saric,3481985,2019
253,Romeo Langford,3458400,2019
254,Bam Adebayo,3454080,2019
255,Jeff Green,3405180,2019
256,Michael Porter,3389400,2019
257,Denzel Valentine,3377568,2019
258,Juan Hernangomez,3321029,2019
259,Sekou Doumbouya,3285120,2019
260,Justin Jackson,3280920,2019
261,Troy Brown,3219480,2019
262,Jon Leuer,3169348,2019
263,Yogi Ferrell,3150000,2019
264,Patrick Patterson,3068660,2019
265,Zhaire Smith,3058800,2019
266,Ryan Arcidiacono,3000000,2019
267,Quinn Cook,3000000,2019
268,Khem Birch,3000000,2019
269,Omer Asik,3000000,2019
270,Nickeil Alexander-Walker,2964840,2019
271,DJ Wilson,2961120,2019
272,Cedi Osman,2907143,2019
273,Donte DiVincenzo,2905800,2019
274,Bryn Forbes,2875000,2019
275,Andrew Nicholson,2844429,2019
276,Goga Bitadze,2816760,2019
277,TJ Leaf,2813280,2019
278,Lonnie Walker,2764200,2019
279,Alex Caruso,2750000,2019
280,Malik Beasley,2731713,2019
281,Luka Samanic,2689920,2019
282,John Collins,2686560,2019
283,Kevin Huerter,2636280,2019
284,Caris LeVert,2625717,2019
285,Marko Guduric,2625000,2019
286,DeAndre Bembry,2603981,2019
287,Matisse Thybulle,2582160,2019
288,Harry Giles,2578800,2019
289,Rajon Rondo,2564753,2019
290,Wesley Matthews,2564753,2019
291,Vince Carter,2564753,2019
292,Nenê,2564753,2019
293,Wilson Chandler,2564753,2019
294,Jose Juan Barea,2564753,2019
295,Gerald Green,2564753,2019
296,Tyson Chandler,2564753,2019
297,Thabo Sefolosha,2564753,2019
298,Jared Dudley,2564753,2019
299,Anthony Tolliver,2564753,2019
300,Udonis Haslem,2564753,2019
301,Josh Okogie,2530680,2019
302,Vincent Poirier,2505793,2019
303,Rondae Hollis-Jefferson,2500000,2019
