,Pick,Player,College,Year
22,23,Omri Casspi,,2009
23,24,Byron Mullens,Ohio State,2009
24,25,Rodrigue Beaubois,,2009
25,26,Taj Gibson,USC,2009
26,27,DeMarre Carroll,Missouri,2009
27,28,Wayne Ellington,UNC,2009
28,29,Toney Douglas,Florida State,2009
29,30,Christian Eyenga,,2009
30,31,Jeff Ayres,Arizona State,2009
31,32,Jermaine Taylor,Central Florida,2009
32,33,Dante Cunningham,Villanova,2009
33,34,Sergio Llull,,2009
34,35,DaJuan Summers,Georgetown,2009
35,36,Sam Young,Pitt,2009
36,37,DeJuan Blair,Pitt,2009
37,38,Jon Brockman,Washington,2009
38,39,Jonas Jerebko,,2009
39,40,Derrick Brown,Xavier,2009
40,41,Jodie Meeks,Kentucky,2009
41,42,Patrick Beverley,Arkansas,2009
42,43,Marcus Thornton,LSU,2009
43,44,Chase Budinger,Arizona,2009
44,45,Nick Calathes,Florida,2009
45,46,Danny Green,UNC,2009
46,47,Henk Norel,,2009
47,48,Taylor Griffin,Oklahoma,2009
48,49,Sergiy Gladyr,,2009
49,50,Goran Suton,Michigan State,2009
50,51,Jack McClinton,Miami (FL),2009
51,52,A.J. Price,UConn,2009
52,53,Nando De Colo,,2009
53,54,Robert Vaden,University of Alabama at Birmingham,2009
54,55,Patty Mills,Saint Mary's,2009
55,56,Ahmad Nivins,Saint Joseph's,2009
56,57,Emir Preldžić,,2009
57,58,Lester Hudson,University of Tennessee at Martin,2009
58,59,Chinemelu Elonu,Texas A&M,2009
59,60,Robert Dozier,Memphis,2009
0,1,John Wall,Kentucky,2010
1,2,Evan Turner,Ohio State,2010
2,3,Derrick Favors,Georgia Tech,2010
3,4,Wesley Johnson,Syracuse,2010
4,5,DeMarcus Cousins,Kentucky,2010
5,6,Ekpe Udoh,Baylor,2010
6,7,Greg Monroe,Georgetown,2010
7,8,Al-Farouq Aminu,Wake Forest,2010
8,9,Gordon Hayward,Butler,2010
9,10,Paul George,Fresno State,2010
10,11,Cole Aldrich,Kansas,2010
11,12,Xavier Henry,Kansas,2010
12,13,Ed Davis,UNC,2010
13,14,Patrick Patterson,Kentucky,2010
14,15,Larry Sanders,Virginia Commonwealth,2010
15,16,Luke Babbitt,Nevada,2010
16,17,Kevin Séraphin,,2010
17,18,Eric Bledsoe,Kentucky,2010
18,19,Avery Bradley,Texas,2010
19,20,James Anderson,Oklahoma State,2010
20,21,Craig Brackins,Iowa State,2010
21,22,Elliot Williams,Memphis,2010
22,23,Trevor Booker,Clemson,2010
23,24,Damion James,Texas,2010
24,25,Dominique Jones,South Florida,2010
25,26,Quincy Pondexter,Washington,2010
26,27,Jordan Crawford,Xavier,2010
27,28,Greivis Vásquez,Maryland,2010
28,29,Daniel Orton,Kentucky,2010
29,30,Lazar Hayward,Marquette,2010
30,31,Tibor Pleiß,,2010
31,32,Dexter Pittman,Texas,2010
32,33,Hassan Whiteside,Marshall,2010
33,34,Armon Johnson,Nevada,2010
34,35,Nemanja Bjelica,,2010
35,36,Terrico White,Ole Miss,2010
36,37,Darington Hobson,New Mexico,2010
37,38,Andy Rautins,Syracuse,2010
38,39,Landry Fields,Stanford,2010
39,40,Lance Stephenson,Cincinnati,2010
40,41,Jarvis Varnado,Mississippi State,2010
41,42,Da'Sean Butler,West Virginia,2010
42,43,Devin Ebanks,West Virginia,2010
43,44,Jerome Jordan,Tulsa,2010
44,45,Paulo Prestes,,2010
45,46,Gani Lawal,Georgia Tech,2010
46,47,Tiny Gallon,Oklahoma,2010
47,48,Latavious Williams,,2010
48,49,Ryan Richards,,2010
49,50,Solomon Alabi,Florida State,2010
50,51,Magnum Rolle,Louisiana Tech,2010
51,52,Luke Harangody,Notre Dame,2010
52,53,Pape Sy,,2010
53,54,Willie Warren,Oklahoma,2010
54,55,Jeremy Evans,Western Kentucky,2010
55,56,Hamady N'Diaye,Rutgers University,2010
56,57,Ryan Reid,Florida State,2010
57,58,Derrick Caracter,Texas-El Paso,2010
58,59,Stanley Robinson,UConn,2010
59,60,Dwayne Collins,Miami (FL),2010
0,1,Kyrie Irving,Duke,2011
1,2,Derrick Williams,Arizona,2011
2,3,Enes Kanter,,2011
3,4,Tristan Thompson,Texas,2011
4,5,Jonas Valančiūnas,,2011
5,6,Jan Veselý,,2011
6,7,Bismack Biyombo,,2011
7,8,Brandon Knight,Kentucky,2011
8,9,Kemba Walker,UConn,2011
9,10,Jimmer Fredette,BYU,2011
10,11,Klay Thompson,Washington State,2011
11,12,Alec Burks,Colorado,2011
12,13,Markieff Morris,Kansas,2011
13,14,Marcus Morris,Kansas,2011
14,15,Kawhi Leonard,San Diego State,2011
15,16,Nikola Vučević,USC,2011
16,17,Iman Shumpert,Georgia Tech,2011
17,18,Chris Singleton,Florida State,2011
18,19,Tobias Harris,Tennessee,2011
19,20,Donatas Motiejūnas,,2011
20,21,Nolan Smith,Duke,2011
21,22,Kenneth Faried,Morehead State University,2011
22,23,Nikola Mirotić,,2011
23,24,Reggie Jackson,Boston College,2011
24,25,MarShon Brooks,Providence,2011
25,26,Jordan Hamilton,Texas,2011
26,27,JaJuan Johnson,Purdue,2011
27,28,Norris Cole,Cleveland State University,2011
28,29,Cory Joseph,Texas,2011
29,30,Jimmy Butler,Marquette,2011
30,31,Bojan Bogdanović,,2011
31,32,Justin Harper,Richmond,2011
32,33,Kyle Singler,Duke,2011
33,34,Shelvin Mack,Butler,2011
34,35,Tyler Honeycutt,UCLA,2011
35,36,Jordan Williams,Maryland,2011
36,37,Trey Thompkins,Georgia,2011
37,38,Chandler Parsons,Florida,2011
38,39,Jeremy Tyler,,2011
39,40,Jon Leuer,Wisconsin,2011
40,41,Darius Morris,Michigan,2011
41,42,Dāvis Bertāns,,2011
42,43,Malcolm Lee,UCLA,2011
43,44,Charles Jenkins,Hofstra,2011
44,45,Josh Harrellson,Kentucky,2011
45,46,Andrew Goudelock,College of Charleston,2011
46,47,Travis Leslie,Georgia,2011
47,48,Keith Benson,Oakland,2011
48,49,Josh Selby,Kansas,2011
49,50,Lavoy Allen,Temple,2011
50,51,Jon Diebler,Ohio State,2011
51,52,Vernon Macklin,Florida,2011
52,53,DeAndre Liggins,Kentucky,2011
53,54,Milan Mačvan,,2011
54,55,E'Twaun Moore,Purdue,2011
55,56,Chukwudiebere Maduabum,,2011
56,57,Targuy Ngombo,,2011
57,58,Ater Majok,,2011
58,59,Ádám Hanga,,2011
59,60,Isaiah Thomas,Washington,2011
0,1,Anthony Davis,Kentucky,2012
1,2,Michael Kidd-Gilchrist,Kentucky,2012
2,3,Bradley Beal,Florida,2012
3,4,Dion Waiters,Syracuse,2012
4,5,Thomas Robinson,Kansas,2012
5,6,Damian Lillard,Weber State,2012
6,7,Harrison Barnes,UNC,2012
7,8,Terrence Ross,Washington,2012
8,9,Andre Drummond,UConn,2012
9,10,Austin Rivers,Duke,2012
10,11,Meyers Leonard,Illinois,2012
11,12,Jeremy Lamb,UConn,2012
12,13,Kendall Marshall,UNC,2012
13,14,John Henson,UNC,2012
14,15,Maurice Harkless,St. John's,2012
15,16,Royce White,Iowa State,2012
16,17,Tyler Zeller,UNC,2012
17,18,Terrence Jones,Kentucky,2012
18,19,Andrew Nicholson,St. Bonaventure,2012
19,20,Evan Fournier,,2012
20,21,Jared Sullinger,Ohio State,2012
21,22,Fab Melo,Syracuse,2012
22,23,John Jenkins,Vanderbilt,2012
23,24,Jared Cunningham,Oregon State,2012
24,25,Tony Wroten,Washington,2012
25,26,Miles Plumlee,Duke,2012
26,27,Arnett Moultrie,Mississippi State,2012
27,28,Perry Jones,Baylor,2012
28,29,Marquis Teague,Kentucky,2012
29,30,Festus Ezeli,Vanderbilt,2012
30,31,Jeffery Taylor,Vanderbilt,2012
31,32,Tomáš Satoranský,,2012
32,33,Bernard James,Florida State,2012
33,34,Jae Crowder,Marquette,2012
34,35,Draymond Green,Michigan State,2012
35,36,Orlando Johnson,UC Santa Barbara,2012
36,37,Quincy Acy,Baylor,2012
37,38,Quincy Miller,Baylor,2012
38,39,Khris Middleton,Texas A&M,2012
39,40,Will Barton,Memphis,2012
40,41,Tyshawn Taylor,Kansas,2012
41,42,Doron Lamb,Kentucky,2012
42,43,Mike Scott,Virginia,2012
43,44,Kim English,Missouri,2012
44,45,Justin Hamilton,LSU,2012
45,46,Darius Miller,Kentucky,2012
46,47,Kevin Murphy,Tennessee Technological University,2012
47,48,Kostas Papanikolaou,,2012
48,49,Kyle O'Quinn,Norfolk State,2012
49,50,İzzet Türkyılmaz,,2012
50,51,Kris Joseph,Syracuse,2012
51,52,Ognjen Kuzmić,,2012
52,53,Furkan Aldemir,,2012
53,54,Tornike Shengelia,,2012
54,55,Darius Johnson-Odom,Marquette,2012
55,56,Tomislav Zubčić,,2012
56,57,İlkan Karaman,,2012
57,58,Robbie Hummel,Purdue,2012
58,59,Marcus Denmon,Missouri,2012
59,60,Robert Sacre,Gonzaga,2012
0,1,Anthony Bennett,UNLV,2013
1,2,Victor Oladipo,Indiana,2013
2,3,Otto Porter,Georgetown,2013
3,4,Cody Zeller,Indiana,2013
4,5,Alex Len,Maryland,2013
5,6,Nerlens Noel,Kentucky,2013
6,7,Ben McLemore,Kansas,2013
7,8,Kentavious Caldwell-Pope,Georgia,2013
8,9,Trey Burke,Michigan,2013
9,10,CJ McCollum,Lehigh,2013
10,11,Michael Carter-Williams,Syracuse,2013
11,12,Steven Adams,Pitt,2013
12,13,Kelly Olynyk,Gonzaga,2013
13,14,Shabazz Muhammad,UCLA,2013
14,15,Giannis Antetokounmpo,,2013
15,16,Lucas Nogueira,,2013
16,17,Dennis Schröder,,2013
17,18,Shane Larkin,Miami (FL),2013
18,19,Sergey Karasev,,2013
19,20,Tony Snell,New Mexico,2013
20,21,Gorgui Dieng,Louisville,2013
21,22,Mason Plumlee,Duke,2013
22,23,Solomon Hill,Arizona,2013
23,24,Tim Hardaway,Michigan,2013
24,25,Reggie Bullock,UNC,2013
25,26,Andre Roberson,Colorado,2013
26,27,Rudy Gobert,,2013
27,28,Livio Jean-Charles,,2013
28,29,Archie Goodwin,Kentucky,2013
29,30,Nemanja Nedović,,2013
30,31,Allen Crabbe,California,2013
31,32,Álex Abrines,,2013
32,33,Carrick Felix,Arizona State,2013
33,34,Isaiah Canaan,Murray State,2013
34,35,Glen Rice,Georgia Tech,2013
35,36,Ray McCallum,Detroit Mercy,2013
36,37,Tony Mitchell,University of North Texas,2013
37,38,Nate Wolters,South Dakota State,2013
38,39,Jeff Withey,Kansas,2013
39,40,Grant Jerrett,Arizona,2013
40,41,Jamaal Franklin,San Diego State,2013
41,42,Pierre Jackson,Baylor,2013
42,43,Ricky Ledo,Providence,2013
43,44,Mike Muscala,Bucknell,2013
44,45,Marko Todorović,,2013
45,46,Erick Green,Virginia Tech,2013
46,47,Raul Neto,,2013
47,48,Ryan Kelly,Duke,2013
48,49,Erik Murphy,Florida,2013
49,50,James Ennis,Cal State Long Beach,2013
50,51,Romero Osby,Oklahoma,2013
51,52,Lorenzo Brown,NC State,2013
52,53,Colton Iverson,Colorado State,2013
53,54,Arsalan Kazemi,Oregon,2013
54,55,Joffrey Lauvergne,,2013
55,56,Peyton Siva,Louisville,2013
56,57,Alex Oriakhi,Missouri,2013
57,58,Deshaun Thomas,Ohio State,2013
58,59,Bojan Dubljević,,2013
59,60,Jānis Timma,,2013
0,1,Andrew Wiggins,Kansas,2014
1,2,Jabari Parker,Duke,2014
2,3,Joel Embiid,Kansas,2014
3,4,Aaron Gordon,Arizona,2014
4,5,Dante Exum,,2014
5,6,Marcus Smart,Oklahoma State,2014
6,7,Julius Randle,Kentucky,2014
7,8,Nik Stauskas,Michigan,2014
8,9,Noah Vonleh,Indiana,2014
9,10,Elfrid Payton,LA-Lafayette,2014
10,11,Doug McDermott,Creighton,2014
11,12,Dario Šarić,,2014
12,13,Zach LaVine,UCLA,2014
13,14,T.J. Warren,NC State,2014
14,15,Adreian Payne,Michigan State,2014
15,16,Jusuf Nurkić,,2014
16,17,James Young,Kentucky,2014
17,18,Tyler Ennis,Syracuse,2014
18,19,Gary Harris,Michigan State,2014
19,20,Bruno Caboclo,,2014
20,21,Mitch McGary,Michigan,2014
21,22,Jordan Adams,UCLA,2014
22,23,Rodney Hood,Duke,2014
23,24,Shabazz Napier,UConn,2014
24,25,Clint Capela,,2014
25,26,P.J. Hairston,UNC,2014
26,27,Bogdan Bogdanović,,2014
27,28,C.J. Wilcox,Washington,2014
28,29,Josh Huestis,Stanford,2014
29,30,Kyle Anderson,UCLA,2014
30,31,Damien Inglis,,2014
31,32,K.J. McDaniels,Clemson,2014
32,33,Joe Harris,Virginia,2014
33,34,Cleanthony Early,Wichita State,2014
34,35,Jarnell Stokes,Tennessee,2014
35,36,Johnny O'Bryant,LSU,2014
36,37,DeAndre Daniels,UConn,2014
37,38,Spencer Dinwiddie,Colorado,2014
38,39,Jerami Grant,Syracuse,2014
39,40,Glenn Robinson,Michigan,2014
40,41,Nikola Jokić,,2014
41,42,Nick Johnson,Arizona,2014
42,43,Edy Tavares,,2014
43,44,Markel Brown,Oklahoma State,2014
44,45,Dwight Powell,Stanford,2014
45,46,Jordan Clarkson,Missouri,2014
46,47,Russ Smith,Louisville,2014
47,48,Lamar Patterson,Pitt,2014
48,49,Cameron Bairstow,New Mexico,2014
49,50,Alec Brown,Green Bay,2014
50,51,Thanasis Antetokounmpo,,2014
51,52,Vasilije Micić,,2014
52,53,Alessandro Gentile,,2014
53,54,Nemanja Dangubić,,2014
54,55,Semaj Christon,Xavier,2014
55,56,Devyn Marble,Iowa,2014
56,57,Louis Labeyrie,,2014
57,58,Jordan McRae,Tennessee,2014
58,59,Xavier Thames,San Diego State,2014
59,60,Cory Jefferson,Baylor,2014
0,1,Karl-Anthony Towns,Kentucky,2015
1,2,D'Angelo Russell,Ohio State,2015
2,3,Jahlil Okafor,Duke,2015
3,4,Kristaps Porziņģis,,2015
4,5,Mario Hezonja,,2015
5,6,Willie Cauley-Stein,Kentucky,2015
6,7,Emmanuel Mudiay,,2015
7,8,Stanley Johnson,Arizona,2015
8,9,Frank Kaminsky,Wisconsin,2015
9,10,Justise Winslow,Duke,2015
10,11,Myles Turner,Texas,2015
11,12,Trey Lyles,Kentucky,2015
12,13,Devin Booker,Kentucky,2015
13,14,Cameron Payne,Murray State,2015
14,15,Kelly Oubre,Kansas,2015
15,16,Terry Rozier,Louisville,2015
16,17,Rashad Vaughn,UNLV,2015
17,18,Sam Dekker,Wisconsin,2015
18,19,Jerian Grant,Notre Dame,2015
19,20,Delon Wright,Utah,2015
20,21,Justin Anderson,Virginia,2015
21,22,Bobby Portis,Arkansas,2015
22,23,Rondae Hollis-Jefferson,Arizona,2015
23,24,Tyus Jones,Duke,2015
24,25,Jarell Martin,LSU,2015
25,26,Nikola Milutinov,,2015
26,27,Larry Nance,Wyoming,2015
27,28,R.J. Hunter,Georgia State University,2015
28,29,Chris McCullough,Syracuse,2015
29,30,Kevon Looney,UCLA,2015
30,31,Cedi Osman,,2015
31,32,Montrezl Harrell,Louisville,2015
32,33,Jordan Mickey,LSU,2015
33,34,Anthony Brown,Stanford,2015
34,35,Willy Hernangómez,,2015
35,36,Rakeem Christmas,Syracuse,2015
36,37,Richaun Holmes,Bowling Green,2015
37,38,Darrun Hilliard,Villanova,2015
38,39,Juan Pablo Vaulet,,2015
39,40,Josh Richardson,Tennessee,2015
40,41,Pat Connaughton,Notre Dame,2015
41,42,Olivier Hanlan,Boston College,2015
42,43,Joe Young,Oregon,2015
43,44,Andrew Harrison,Kentucky,2015
44,45,Marcus Thornton,William & Mary,2015
45,46,Norman Powell,UCLA,2015
46,47,Artūras Gudaitis,,2015
47,48,Dakari Johnson,Kentucky,2015
48,49,Aaron White,Iowa,2015
49,50,Marcus Eriksson,,2015
50,51,Tyler Harvey,Eastern Washington,2015
51,52,Satnam Singh Bhamara,,2015
52,53,Sir'Dominic Pointer,St. John's,2015
53,54,Dani Díez de la Faya,,2015
54,55,Cady Lalanne,UMass,2015
55,56,Branden Dawson,Michigan State,2015
56,57,Nikola Radičević,,2015
57,58,J.P. Tokoto,UNC,2015
58,59,Dimitrios Agravanis,,2015
59,60,Luka Mitrović,,2015
0,1,Ben Simmons,LSU,2016
1,2,Brandon Ingram,Duke,2016
2,3,Jaylen Brown,California,2016
3,4,Dragan Bender,,2016
4,5,Kris Dunn,Providence,2016
5,6,Buddy Hield,Oklahoma,2016
6,7,Jamal Murray,Kentucky,2016
7,8,Marquese Chriss,Washington,2016
8,9,Jakob Pöltl,Utah,2016
9,10,Thon Maker,,2016
10,11,Domantas Sabonis,Gonzaga,2016
11,12,Taurean Waller-Prince,Baylor,2016
12,13,Georgios Papagiannis,,2016
13,14,Denzel Valentine,Michigan State,2016
14,15,Juan Hernangómez,,2016
15,16,Guerschon Yabusele,,2016
16,17,Wade Baldwin,Vanderbilt,2016
17,18,Henry Ellenson,Marquette,2016
18,19,Malik Beasley,Florida State,2016
19,20,Caris LeVert,Michigan,2016
20,21,DeAndre' Bembry,Saint Joseph's,2016
21,22,Malachi Richardson,Syracuse,2016
22,23,Ante Žižić,,2016
23,24,Timothé Luwawu-Cabarrot,,2016
24,25,Brice Johnson,UNC,2016
25,26,Furkan Korkmaz,,2016
26,27,Pascal Siakam,New Mexico State,2016
27,28,Skal Labissière,Kentucky,2016
28,29,Dejounte Murray,Washington,2016
29,30,Damian Jones,Vanderbilt,2016
30,31,Deyonta Davis,Michigan State,2016
31,32,Ivica Zubac,,2016
32,33,Cheick Diallo,Kansas,2016
33,34,Tyler Ulis,Kentucky,2016
34,35,Rade Zagorac,,2016
35,36,Malcolm Brogdon,Virginia,2016
36,37,Chinanu Onuaku,Louisville,2016
37,38,Patrick McCaw,UNLV,2016
38,39,David Michineau,,2016
39,40,Diamond Stone,Maryland,2016
40,41,Stephen Zimmerman,UNLV,2016
41,42,Isaiah Whitehead,Seton Hall,2016
42,43,Zhou Qi,,2016
43,44,Isaïa Cordinier,,2016
44,45,Demetrius Jackson,Notre Dame,2016
45,46,A.J. Hammons,Purdue,2016
46,47,Jake Layman,Maryland,2016
47,48,Paul Zipser,,2016
48,49,Michael Gbinije,Syracuse,2016
49,50,Georges Niang,Iowa State,2016
50,51,Ben Bentil,Providence,2016
51,52,Joel Bolomboy,Weber State,2016
52,53,Petr Cornelie,,2016
53,54,Kay Felder,Oakland,2016
54,55,Marcus Paige,UNC,2016
55,56,Daniel Hamilton,UConn,2016
56,57,Wang Zhelin,,2016
57,58,Abdel Nader,Iowa State,2016
58,59,Isaiah Cousins,Oklahoma,2016
59,60,Tyrone Wallace,California,2016
0,1,Markelle Fultz,Washington,2017
1,2,Lonzo Ball,UCLA,2017
2,3,Jayson Tatum,Duke,2017
3,4,Josh Jackson,Kansas,2017
4,5,De'Aaron Fox,Kentucky,2017
5,6,Jonathan Isaac,Florida State,2017
6,7,Lauri Markkanen,Arizona,2017
7,8,Frank Ntilikina,,2017
8,9,Dennis Smith,NC State,2017
9,10,Zach Collins,Gonzaga,2017
10,11,Malik Monk,Kentucky,2017
11,12,Luke Kennard,Duke,2017
12,13,Donovan Mitchell,Louisville,2017
13,14,Bam Adebayo,Kentucky,2017
14,15,Justin Jackson,UNC,2017
15,16,Justin Patton,Creighton,2017
16,17,D.J. Wilson,Michigan,2017
17,18,T.J. Leaf,UCLA,2017
18,19,John Collins,Wake Forest,2017
19,20,Harry Giles,Duke,2017
20,21,Terrance Ferguson,,2017
21,22,Jarrett Allen,Texas,2017
22,23,OG Anunoby,Indiana,2017
23,24,Tyler Lydon,Syracuse,2017
24,25,Anžejs Pasečņiks,,2017
25,26,Caleb Swanigan,Purdue,2017
26,27,Kyle Kuzma,Utah,2017
27,28,Tony Bradley,UNC,2017
28,29,Derrick White,Colorado,2017
29,30,Josh Hart,Villanova,2017
30,31,Frank Jackson,Duke,2017
31,32,Davon Reed,Miami (FL),2017
32,33,Wesley Iwundu,Kansas State,2017
33,34,Frank Mason,Kansas,2017
34,35,Ivan Rabb,California,2017
35,36,Jonah Bolden,,2017
36,37,Semi Ojeleye,SMU,2017
37,38,Jordan Bell,Oregon,2017
38,39,Jawun Evans,Oklahoma State,2017
39,40,Dwayne Bacon,Florida State,2017
40,41,Tyler Dorsey,Oregon,2017
41,42,Thomas Bryant,Indiana,2017
42,43,Isaiah Hartenstein,,2017
43,44,Damyean Dotson,Oregon,2017
44,45,Dillon Brooks,Oregon,2017
45,46,Sterling Brown,SMU,2017
46,47,Ike Anigbogu,UCLA,2017
47,48,Sindarius Thornwell,South Carolina,2017
48,49,Vlatko Čančar,,2017
49,50,Mathias Lessort,,2017
50,51,Monte Morris,Iowa State,2017
51,52,Edmond Sumner,Xavier,2017
52,53,Kadeem Allen,Arizona,2017
53,54,Alec Peters,Valparaiso,2017
54,55,Nigel Williams-Goss,Gonzaga,2017
55,56,Jabari Bird,California,2017
56,57,Aleksandar Vezenkov,,2017
57,58,Ognjen Jaramaz,,2017
58,59,Jaron Blossomgame,Clemson,2017
59,60,Alpha Kaba,,2017
0,1,Deandre Ayton,Arizona,2018
1,2,Marvin Bagley,Duke,2018
2,3,Luka Dončić,,2018
3,4,Jaren Jackson,Michigan State,2018
4,5,Trae Young,Oklahoma,2018
5,6,Mohamed Bamba,Texas,2018
6,7,Wendell Carter,Duke,2018
7,8,Collin Sexton,Alabama,2018
8,9,Kevin Knox,Kentucky,2018
9,10,Mikal Bridges,Villanova,2018
10,11,Shai Gilgeous-Alexander,Kentucky,2018
11,12,Miles Bridges,Michigan State,2018
12,13,Jerome Robinson,Boston College,2018
13,14,Michael Porter,Missouri,2018
14,15,Troy Brown,Oregon,2018
15,16,Zhaire Smith,Texas Tech,2018
16,17,Donte DiVincenzo,Villanova,2018
17,18,Lonnie Walker,Miami (FL),2018
18,19,Kevin Huerter,Maryland,2018
19,20,Josh Okogie,Georgia Tech,2018
20,21,Grayson Allen,Duke,2018
21,22,Chandler Hutchison,Boise State,2018
22,23,Aaron Holiday,UCLA,2018
23,24,Anfernee Simons,,2018
24,25,Moritz Wagner,Michigan,2018
25,26,Landry Shamet,Wichita State,2018
26,27,Robert Williams,Texas A&M,2018
27,28,Jacob Evans,Cincinnati,2018
28,29,Džanan Musa,,2018
29,30,Omari Spellman,Villanova,2018
30,31,Élie Okobo,,2018
31,32,Jevon Carter,West Virginia,2018
32,33,Jalen Brunson,Villanova,2018
33,34,Devonte' Graham,Kansas,2018
34,35,Melvin Frazier,Tulane,2018
35,36,Mitchell Robinson,,2018
36,37,Gary Trent,Duke,2018
37,38,Khyri Thomas,Creighton,2018
38,39,Isaac Bonga,,2018
39,40,Rodions Kurucs,,2018
40,41,Jarred Vanderbilt,Kentucky,2018
41,42,Bruce Brown,Miami (FL),2018
42,43,Justin Jackson,Maryland,2018
43,44,Issuf Sanon,,2018
44,45,Hamidou Diallo,Kentucky,2018
45,46,De'Anthony Melton,USC,2018
46,47,Sviatoslav Mykhailiuk,Kansas,2018
47,48,Keita Bates-Diop,Ohio State,2018
48,49,Chimezie Metu,USC,2018
49,50,Alize Johnson,Missouri State,2018
50,51,Tony Carr,Penn State,2018
51,52,Vince Edwards,Purdue,2018
52,53,Devon Hall,Virginia,2018
53,54,Shake Milton,SMU,2018
54,55,Arnoldas Kulboka,,2018
55,56,Ray Spalding,Louisville,2018
56,57,Kevin Hervey,UT Arlington,2018
57,58,Thomas Welsh,UCLA,2018
58,59,George King,Colorado,2018
59,60,Kostas Antetokounmpo,Dayton,2018
0,1,Zion Williamson,Duke,2019
1,2,Ja Morant,Murray State,2019
2,3,RJ Barrett,Duke,2019
3,4,De'Andre Hunter,Virginia,2019
4,5,Darius Garland,Vanderbilt,2019
5,6,Jarrett Culver,Texas Tech,2019
6,7,Coby White,UNC,2019
7,8,Jaxson Hayes,Texas,2019
8,9,Rui Hachimura,Gonzaga,2019
9,10,Cam Reddish,Duke,2019
10,11,Cameron Johnson,UNC,2019
11,12,PJ Washington,Kentucky,2019
12,13,Tyler Herro,Kentucky,2019
13,14,Romeo Langford,Indiana,2019
14,15,Sekou Doumbouya,,2019
15,16,Chuma Okeke,Auburn,2019
16,17,Nickeil Alexander-Walker,Virginia Tech,2019
17,18,Goga Bitadze,,2019
18,19,Luka Šamanić,,2019
19,20,Matisse Thybulle,Washington,2019
20,21,Brandon Clarke,Gonzaga,2019
21,22,Grant Williams,Tennessee,2019
22,23,Darius Bazley,,2019
23,24,Ty Jerome,Virginia,2019
24,25,Nassir Little,UNC,2019
25,26,Dylan Windler,Belmont,2019
26,27,Mfiondu Kabengele,Florida State,2019
27,28,Jordan Poole,Michigan,2019
28,29,Keldon Johnson,Kentucky,2019
29,30,Kevin Porter,USC,2019
30,31,Nicolas Claxton,Georgia,2019
31,32,KZ Okpala,Stanford,2019
32,33,Carsen Edwards,Purdue,2019
33,34,Bruno Fernando,Maryland,2019
34,35,Marcos Louzada Silva,,2019
35,36,Cody Martin,Nevada,2019
36,37,Deividas Sirvydis,,2019
37,38,Daniel Gafford,Arkansas,2019
38,39,Alen Smailagić,,2019
39,40,Justin James,Wyoming,2019
40,41,Eric Paschall,Villanova,2019
41,42,Admiral Schofield,Tennessee,2019
42,43,Jaylen Nowell,Washington,2019
43,44,Bol Bol,Oregon,2019
44,45,Isaiah Roby,Nebraska,2019
45,46,Talen Horton-Tucker,Iowa State,2019
46,47,Ignas Brazdeikis,Michigan,2019
47,48,Terance Mann,Florida State,2019
48,49,Quinndary Weatherspoon,Mississippi State,2019
49,50,Jarrell Brantley,College of Charleston,2019
50,51,Tremont Waters,LSU,2019
51,52,Jalen McDaniels,San Diego State,2019
52,53,Justin Wright-Foreman,Hofstra,2019
53,54,Marial Shayok,Iowa State,2019
54,55,Kyle Guy,Virginia,2019
55,56,Jaylen Hands,UCLA,2019
56,57,Jordan Bone,Tennessee,2019
57,58,Miye Oni,Yale,2019
58,59,Dewan Hernandez,Miami (FL),2019
59,60,Vanja Marinković,,2019
